Nazwa_handlowa,Angielska_nazwa,Inter_substancja_aktywna,Inter_produkty_spozywcze,Skutek_uboczny,Zalecenia,interakcje z dzialaniami,Interakcje,Strona,Substancja_aktywna,Wskazania,,,,,,,,,,,,,,,,,,,,,,,,,,Wskazania,Choroby
Benzylopenicylina,prokainowa,,,,,mozliwosc ograniczenia zdolnosci do prowadzenia pojazdow,"Substancja czynna nie powoduje objawÃ³w wpÅ‚ywajÄ…cych na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w i obsÅ‚ugiwania maszyn. JeÅ›li jednak u pacjenta wystÄ…piÄ… dziaÅ‚ania niepoÅ¼Ä…dane majÄ…ce wpÅ‚yw na zdolnoÅ›Ä‡ koncentracji, naleÅ¼y zachowaÄ‡ szczegÃ³lnÄ… ostroÅ¼noÅ›Ä‡ w czasie wykonywania tychÅ¼e czynnoÅ›ci.
W wyniku stosowania benzylopenicyliny prokainowej, wynik testu Coombsa moÅ¼e byÄ‡ faÅ‚szywie dodatni.
",https://www.doz.pl//leki/w125-Benzylopenicylina_prokainowa,benzylopenicylina prokainowa,"Benzylopenicylina prokainowa jest stosowana w leczeniu zakaÅ¼eÅ„ w stopniu od umiarkowanego do ciÄ™Å¼kiego, ktÃ³re wywoÅ‚ane sÄ… przez bakterie wraÅ¼liwe na substancjÄ™ czynnÄ…. Antybiotyk stosuje siÄ™ miÄ™dzy innymi w leczeniu chorÃ³b wywoÅ‚anych przez paciorkowce (grupa A, C, G, H, L, M) oraz pneumokoki, ktÃ³re powodujÄ… zakaÅ¼enia gÃ³rnych i dolnych drÃ³g oddechowych, zapalenia wsierdzia, szkarlatynÄ™, czy teÅ¼ paciorkowcowe zakaÅ¼enie skÃ³ry i tkanki podskÃ³rnej (rÃ³Å¼a). Substancja czynna ma rÃ³wnieÅ¼ wskazania w leczeniu rzeÅ¼Ä…czki (wywoÅ‚anej przez Neisseria gonorrhoeae), mieszanych zakaÅ¼eÅ„ gardÅ‚a (angina Vincenta) i rÃ³Å¼ycy (wywoÅ‚anej przez Erysipelothrix rhusiopathiae). Benzylopenicylina prokainowa stosowana jest takÅ¼e w kile nabytej lub wrodzonej (wywoÅ‚anej przez Treponema pallidum), w zakaÅ¼eniach narzÄ…dÃ³w pÅ‚ciowych wywoÅ‚anych przez krÄ™tki i wrzecionowce oraz w krÄ™tkowicy endemicznej, spowodowanej przez Treponema pallidum endemicum (kiÅ‚a endemiczna), Treponema pallidum carateum (pinta) oraz Treponema pallidum pertenue (frambezja, malinica). Benzylopenicylina prokainowa uÅ¼ywana jest rÃ³wnieÅ¼ w poÅ‚Ä…czeniu z antytoksynÄ…, w celu zapobiegania wystÄ…pienia bÅ‚onicy oraz w leczeniu wÄ…glika (wywoÅ‚anego przez Bacillus anthracis) oraz w leczeniu gorÄ…czki szczurzej (wywoÅ‚anej przez Streptobacillus minor i moniliformis).",,,,,,,,,,,,,,,,,,,,,,,,,,zakazenie,
Beraktant,Beractant,,,,,bezdech,"Po podaniu dotchawiczym beraktantu mogÄ… wystÄ…piÄ‡ nastÄ™pujÄ…ce dziaÅ‚ania niepoÅ¼Ä…dane:Â krÃ³tkotrwaÅ‚e zwolnienie czynnoÅ›ci serca noworodka orazÂ obniÅ¼enie stÄ™Å¼enia tlenu we krwi, rzÄ™Å¼enie, wilgotne szmery oddechowe, zwiÄ™kszone ryzyko zakaÅ¼eÅ„ oraz zwiÄ™kszone ryzyko wystÄ…pieniaÂ krwawieniaÂ do pÅ‚uc i mÃ³zgu oraz bezdech.Â 
",https://www.doz.pl//leki/w126-Beraktant,beraktant,"Beraktant znajduje zastosowanie w leczeniu oraz zapobieganiuÂ zespoÅ‚u zaburzeÅ„ oddychania u noworodkÃ³w, w tym wczeÅ›niakÃ³w.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,choroby drog oddechowych,
Betahistyna,Betahistine,,pokarmy,,,,"Pokarm opÃ³Åºnia wchÅ‚anianie betahistyny.
",https://www.doz.pl//leki/w128-Betahistyna,"betahistyna, dichlorowodorek betahistyny","Betahistyna - pochodna histaminy - to substancja stosowana w zawrotach gÅ‚owy rÃ³Å¼nego pochodzenia, a takÅ¼e w chorobie MÃ©niÃ¨re'a (obejmuje zawroty gÅ‚owy z wymiotami / nudnoÅ›ciami, szumy uszne, utratÄ™ sÅ‚uchu postÄ™pujÄ…cÄ…). Jest stosowana w zaburzeniach rÃ³wnowagi, szumach usznych, zawrotach gÅ‚owy pochodzenia przedsionkowego.",,,,,,,,,,,,,,,,,,,,,,,,,,zawroty glowy,
Betametazon,Betamethasone,,,owrzodzenie przewodu pokarmowego,,,"Alkohol zaÅ¼ywany przez pacjenta rÃ³wnolegle z przyjmowaniem betametazonuÂ w iniekcji moÅ¼e zwiÄ™kszyÄ‡ czÄ™stoÅ›Ä‡ wystÄ™powania lub nasilenie wrzodÃ³w przewodu pokarmowego.
Kortykosteroidy - w tym rÃ³wnieÅ¼ betametazon, mogÄ… wywieraÄ‡ wpÅ‚yw na wynik testu z bÅ‚Ä™kitem nitrotetrazolowym w zakaÅ¼eniach bakteryjnych, dajÄ…c wynik faÅ‚szywie ujemny.
",https://www.doz.pl//leki/w131-Betametazon,"betametazon, dipropionian betametazonu, sÃ³l sodowa fosforanu betametazonu, walerianian betametazonu",Betametazon wystÄ™puje w rÃ³Å¼nych postaciach leku. W zaleÅ¼noÅ›ci od postaci ma rÃ³Å¼ne wskazania.,,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Bewacyzumab,Bevacizumab,,,,,koniecznosc ograniczenia zdolnosci do prowadzenia pojazdow,"PacjenciÂ leczeni bewacyzumabem muszÄ… zachowaÄ‡ szczegÃ³lnÄ… ostroÅ¼noÅ›Ä‡ podczas prowadzenia pojazdÃ³w mechanicznych i obsÅ‚ugi maszyn, poniewaÅ¼ stosowanie bewacyzumabu moÅ¼e powodowaÄ‡ omdlenia i sennoÅ›Ä‡. Dodatkowo u niektÃ³rych pacjentÃ³w moÅ¼e dojÅ›Ä‡ do upoÅ›ledzenia koncentracji i wydÅ‚uÅ¼enia czasu reakcji - w tej sytuacji naleÅ¼y powstrzymaÄ‡ siÄ™ od prowadzenia pojazdÃ³w, do czasu ustÄ…pienia objawÃ³w.
",https://www.doz.pl//leki/w132-Bewacyzumab,bewacyzumab,"Bewacyzumab jest stosowany w leczeniu skojarzonym z szeregiem innych Å›rodkÃ³w przeciwnowotworowych, wÂ  przypadkach raka okrÄ™Å¼nicy i odbytnicy z przerzutami, piersi, jajnika i jajowodu oraz nawrotowego lub przerzutowego nowotworu szyjki macicy.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Bezylezomab,Besilesomab,,,,,mozliwosc uzyskania fałszywego wyniku badania w przypadku podania antybiotyku przed lub podczas badania,"Substancja lecznicza nie wywiera wpÅ‚ywu na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w lub obsÅ‚ugi maszyn.
Stosowanie antybiotykÃ³w w trakcie badania lub bezpoÅ›rednio przed zabiegiem nie jest zalecane ze wzglÄ™du na prawdopodobieÅ„stwo otrzymania faÅ‚szywie ujemnych wynikÃ³w badania.
",https://www.doz.pl//leki/w133-Bezylezomab,bezylezomab,Bezylezomab jest przeciwciaÅ‚em monoklonalnym IgG1.,,,,,,,,,,,,,,,,,,,,,,,,,,choroby ukladu krwionosnego,
Bifonazol,Bifonazole,,,,,,"Bifonazol nie wywiera wpÅ‚ywu na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w i obsÅ‚ugi maszyn.Â 
",https://www.doz.pl//leki/w135-Bifonazol,bifonazol,"Bifonazol naleÅ¼y do pochodnych imidazolu wykazujÄ…cych dziaÅ‚anie przeciwgrzybicze. Substancja czynna znalazÅ‚a zastosowanie w leczeniu schorzeÅ„ skÃ³ry wywoÅ‚anych przez niektÃ³re grzyby chorobotwÃ³rcze.Â Bifonazol jest skuteczny podczas terapii grzybiczych zakaÅ¼eÅ„ skÃ³ry, faÅ‚dÃ³w skÃ³rnych,Â  rÄ…k i stÃ³p, Å‚upieÅ¼u rumieniowatego oraz pstrego, a takÅ¼e miejscowej kandydozy.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie skory,
Bikalutamid,Bicalutamide,,,sennosc,,mozliwosc wystapienia nadwrazliwosci na promieniowanie UV,"Bikalutamid wywiera nieznaczny wpÅ‚yw na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w oraz obsÅ‚ugÄ™ maszyn. WÅ›rÃ³d objawÃ³w niepoÅ¼Ä…danych substancji moÅ¼e wystÄ…piÄ‡ sennoÅ›Ä‡, wÃ³wczas naleÅ¼y zachowaÄ‡ ostroÅ¼noÅ›Ä‡ podczas wykonywania powyÅ¼szych czynnoÅ›ci.Â 
Bikalutamid moÅ¼e powodowaÄ‡ reakcje nadwraÅ¼liwoÅ›ci na promieniowanie UV oraz Å›wiatÅ‚o sÅ‚oneczne.
",https://www.doz.pl//leki/w136-Bikalutamid,bikalutamid,"Bikalutamid stosowany jest w leczeniu miejscowym pacjentÃ³w ze stadium zaawansowanym raka gruczoÅ‚u krokowego o wysokim ryzyku postÄ™powania choroby, w monoterapii orazÂ jako leczenie uzupeÅ‚niajÄ…ce po radykalnej prostatektomii lub radioterapii. Bikalutamid wykorzystywany jest rÃ³wnieÅ¼ w terapii pacjentÃ³w z miejscowo zaawansowanym rakiemÂ gruczoÅ‚u krokowego bez przerzutÃ³w, w sytuacji gdy kastracja (chirurgiczna lub farmakologiczna) oraz stosowanie innych lekÃ³w nie jest wÅ‚aÅ›ciwe lub akceptowane.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Biktegrawir,Bictegravir,,,,,mozliwosc wzrostu poziomu lipidow oraz glukozy we krwi,"Badania wykazaÅ‚y niewielki wpÅ‚yw pokarmu bogatego w tÅ‚uszcze na proces wchÅ‚aniania biktegrawiru. Nie jest to jednak efekt istotny klinicznie, stÄ…d lek moÅ¼na zaÅ¼ywaÄ‡ niezaleÅ¼nie od posiÅ‚kÃ³w.Â 
Bikterawir moÅ¼e powodowaÄ‡ wzrost stÄ™Å¼enia lipidÃ³w oraz glukozy we krwi.
",https://www.doz.pl//leki/w1300-Biktegrawir,biktegrawir,"Biktegrawir jest nowym lekiem naleÅ¼Ä…cym do grupyÂ inhibitorÃ³w integrazy (INSTIs). Jest stosowany w terapiiÂ zakaÅ¼enia HIV-1 (ludzkiÂ wirusÂ upoÅ›ledzenia odpornoÅ›ci typu 1,Â human immunodeficiency virus) u pacjentÃ³w dorosÅ‚ych. Warunkiem do stosowania bikterawiru jest brak stwierdzonej opornoÅ›ci na inne leki z tej grupy (inhibitorÃ³w integrazy). Biktegrawir jest skuteczny w przypadku supresjiÂ wirusologicznej RNA HIV-1 <50 c/ml. Lek stosuje siÄ™ w poÅ‚Ä…czeniuÂ  zÂ tenofowirem i emtrycytabinÄ… w postaci tabletki doustnej.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,HIV,
Bilastyna,Bilastine,,grejpfrut,,,,"Pokarm obniÅ¼a dostÄ™pnoÅ›Ä‡ biologicznÄ… Bilastyny o okoÅ‚oÂ 30%. Podobny efekt dajeÂ podanie soku grejpfrutowego (moÅ¼liwy jest rÃ³wnieÅ¼Â Â po innych sokach owocowych).
Nie zaobserwowano interakcji Bilastyny z alkoholem.
Bilastyna nie jest metabolizowana i nie wpÅ‚ywa na aktywnoÅ›Ä‡ izoenzymÃ³w cytochromu P450, dlatego teÅ¼ bardzo rzadko wchodzi w interakcje z innymi lekami czy suplementami. Bilastyna posiada wysokÄ… selektywnoÅ›Ä‡ wobec receptora histaminowego H1, a co za tym idzie profil farmakokinetyczny i farmakodynamiczny jest dosyÄ‡ przewidywalny.
",https://www.doz.pl//leki/w137-Bilastyna,bilastyna,Bilastyna to substancja o dziaÅ‚aniu przeciwhistaminowym (przeciwalergicznym) â€“ Å‚agodzi objawy alergii.,,,,,,,,,,,,,,,,,,,,,,,,,,alergia,
Bimatoprost,Bimatoprost,,,,,mozliwosc czasowych zaburzen wzroku,"Bimatoprost nie wykazuje istotnego wpÅ‚ywu na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w i obsÅ‚ugÄ™ maszyn. W przypadku pojawienia siÄ™ zaburzeÅ„ wzroku po zastosowaniu preparatu zawierajÄ…cego substancjÄ™ czynnÄ… naleÅ¼y wstrzymaÄ‡ siÄ™ z prowadzeniem pojazdu, aÅ¼ proces widzenia wrÃ³ci do normy.
",https://www.doz.pl//leki/w138-Bimatoprost,bimatoprost,"Bimatoprost wystÄ™puje w skÅ‚adzie preparatÃ³w okulistycznych, jako pojedynczy skÅ‚adnik lub substancja towarzyszÄ…ca Î²-blokerowi o dziaÅ‚aniu miejscowym. Lek redukuje zwiÄ™kszone ciÅ›nienie wewnÄ…trzgaÅ‚kowe u osÃ³b dorosÅ‚ych oraz w przypadku jaskry otwartego kÄ…ta przesÄ…czania o przewlekÅ‚ym charakterze.",,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie oka,
Biotyna,Biotin,,"jaja, tyton",,,zagrozenie obnizeniem poziomu witaminy H,"Awidyna, wystÄ™pujÄ…ca w surowym biaÅ‚ku kurzym, Å‚Ä…czy siÄ™ z biotynÄ…, uniemoÅ¼liwiajÄ…cÂ  wchÅ‚anianie witaminy z przewodu pokarmowego. Osoby spoÅ¼ywajÄ…ce duÅ¼e iloÅ›ci surowych biaÅ‚ek kurzych sÄ… naraÅ¼one na niedobory witaminy H.
SpoÅ¼ywanie alkoholu prowadzi do obniÅ¼enia stÄ™Å¼enia zwiÄ…zku we krwi.
Palenie wyrobÃ³w tytoniowych przyÅ›piesza rozkÅ‚ad biotyny w organizmie, prowadzÄ…c do niedoborÃ³w tej witaminy. Palenie tytoniu obniÅ¼a rÃ³wnieÅ¼ leczniczÄ… skutecznoÅ›Ä‡ suplementacji zwiÄ…zku.
",https://www.doz.pl//leki/w139-Biotyna,biotyna,"ZwiÄ…zek podaje siÄ™ w celu uzupeÅ‚nienia niedoborÃ³w biotyny, objawiajÄ…cej siÄ™ zahamowaniem wzrostu wÅ‚osÃ³w czy paznokci, wypadaniem wÅ‚osÃ³w czy stanÃ³w zapalnych skÃ³ry zlokalizowanych wokÃ³Å‚ uszu, nosa, ust oraz oczu.",,,,,,,,,,,,,,,,,,,,,,,,,,choroba Parkinsona,
Biperyden,Biperiden,,alkohol,owrzodzenia przewodu pokarmowego,,,"Biperyden moÅ¼e nasilaÄ‡ dziaÅ‚anie alkoholu, dlatego naleÅ¼y unikaÄ‡ spoÅ¼ywania alkoholu podczas leczenia biperydenem.
Jednoczesne stosowanie biperydenu z preparatami zawierajÄ…cymi potas moÅ¼e nasilaÄ‡ dziaÅ‚ania niepoÅ¼Ä…dane ze strony przewodu pokarmowego (podraÅ¼nienia, owrzodzenia, krwawienia z przewodu pokarmowego). SzczegÃ³lnÄ… ostroÅ¼noÅ›Ä‡ powinny zachowaÄ‡ osoby z chorobÄ… wrzodowÄ… Å¼oÅ‚Ä…dka i/lub dwunastnicy. JeÅ¼eli leki zostaÅ‚y zalecone przez rÃ³Å¼nych lekarzy to wymagana jest konsultacja, aby oceniÄ‡ ryzyko wynikajÄ…ce z poÅ‚Ä…czenia preparatÃ³w w konkretnych dawkach.
",https://www.doz.pl//leki/w140-Biperyden,chlorowodorek biperydenu,"Biperyden jest stosowany w leczeniu objawÃ³w choroby Parkinsona, takich jak spowolnienie ruchowe, drÅ¼enie koÅ„czyn, sztywnoÅ›Ä‡ miÄ™Å›niowa, niestabilnoÅ›Ä‡ postawy. Wskazaniem do stosowania biperydenu sÄ… takÅ¼e dystonie (mimowolne ruchy), akatyzje (chÄ™Ä‡ bycia w ciÄ…gÅ‚ym ruchu) indukowane innymi lekami (np. przeciwpsychotycznymi) i inne zaburzenia ruchowe m.in. krÄ™cz karku, skurcze jÄ™zyka, skurcze miÄ™Å›ni gardÅ‚a, zespÃ³Å‚ Meige'a. Biperyden w formie iniekcji jest stosowany rÃ³wnieÅ¼ w zatruciu nikotynÄ… i organicznymi zwiÄ…zkami fosforu.",,,,,,,,,,,,,,,,,,,,,,,,,,choroba Parkinsona,
Bisakodyl,Bisacodyl,,"rzewien, senes, kruszyna",dolegliwosci zoladkowo-jelitowe,,mozliwosc ograniczenia zdolnosci do prowadzenia pojazdow,"Bisakodyl nie wpÅ‚ywa bezpoÅ›rednio na zdolnoÅ›Ä‡ kierowania pojazdami. NaleÅ¼y jednak wziÄ…Ä‡ pod uwagÄ™ to, Å¼e stany skurczowe jelit powodowane przez zaparcia mogÄ… powodowaÄ‡ omdlenia, zawroty gÅ‚owy. W przypadku ich wystÄ…pienia naleÅ¼y zrezygnowaÄ‡ z wykonywania czynnoÅ›ci jak prowadzenie pojazdÃ³w czy obsÅ‚ugiwanie maszyn.
Wiele ziÃ³Å‚ posiada dziaÅ‚anie przeczyszczajÄ…ce, sÄ… to: senes, rzewieÅ„ czy kruszyna. ÅÄ…czne stosowanie moÅ¼e nasilaÄ‡ dolegliwoÅ›ci Å¼oÅ‚Ä…dkowo-jelitowe jak i wzmaga siÄ™ ich dziaÅ‚anie przeczyszczajÄ…ce.
",https://www.doz.pl//leki/w141-Bisakodyl,bisakodyl,"Bisakodyl jest substancjÄ… o dziaÅ‚aniu przeczyszczajÄ…cym stosowanÄ… w krÃ³tkotrwaÅ‚ym leczeniu zaparÄ‡ (nawykowych, przewlekÅ‚ych, atonicznych). Jego dziaÅ‚anie wykorzystywane jest w premedykacji do zabiegÃ³w chirurgicznych (np. rektoskopia, rentgenodiagnostyka jamy brzusznej, RTG odcinka lÄ™dÅºwiowo-krzyÅ¼owego krÄ™gosÅ‚upa), badaÅ„ diagnostycznych, poÅ‚oÅ¼niczych oraz w okresie okoÅ‚ooperacyjnym.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby ukladu pokarmowego,
Bisoprolol,Bisoprolol,,alkohol,,,,"Podczas przyjmowania bisoprololu naleÅ¼y unikaÄ‡ picia alkoholu.
",https://www.doz.pl//leki/w142-Bisoprolol,"bisoprolol, fumaran bisoprololu","Bisoprolol to lek dziaÅ‚ajÄ…cy na receptory beta-adrenergiczne (znajdujÄ…ce siÄ™ w sercu i naczyniach krwionoÅ›nych) stosowany w leczeniu nadciÅ›nienia tÄ™tniczego, dÅ‚awicy piersiowej i przewlekÅ‚ej niewydolnoÅ›ci serca.",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
biwalirudyna,Bivalirudin,,"czosnek, imbir, borowka czarna, szalwia czerwona, milorzab japonski",,,koniecznosc unikania produktow o działaniu przeciwzakrzepowym,"W trakcie przyjmowania biwalirudyny naleÅ¼y unikaÄ‡ produktÃ³w spoÅ¼ywczych o dziaÅ‚aniu przeciwzakrzepowym oraz przeciwpÅ‚ytkowym, na przykÅ‚ad czosnku, imbiru, borÃ³wki czarnej.
Brak danych na temat interakcji biwalirudyny z alkoholem.
Podczas przyjmowania biwalirudyny naleÅ¼y unikaÄ‡ stosowania ziela jeÅ¼Ã³wki oraz roÅ›linÂ i suplementÃ³w zawierajÄ…cych wyciÄ…gi roÅ›linne posiadajÄ…ce aktywnoÅ›Ä‡ przeciwpÅ‚ytkowÄ… oraz antykoagulacyjnÄ…, na przykÅ‚ad czosnku, imbiru, borÃ³wki, szaÅ‚wii czerwonej oraz miÅ‚orzÄ™bu japoÅ„skiego.
",https://www.doz.pl//leki/w1403-biwalirudyna,Biwalirudyna,"Biwalirudyna, jako zwiÄ…zek o dziaÅ‚aniu przeciwzakrzepowymÂ jest wskazana u osÃ³b poddawanychÂ przezskÃ³rnej interwencji wieÅ„cowej (PCI),Â czyli rÃ³Å¼nego typu zabiegom poszerzania zwÄ™Å¼onych naczyÅ„ wieÅ„cowych w wynikuÂ miaÅ¼dÅ¼ycy (angioplastyka balonowa z uÅ¼yciem cewnika, angioplastyka z uÅ¼yciem stentu, artrektomia kierunkowa, rotablacja, brachyterapia). BiwalirudynÄ™ podaje siÄ™Â pacjentom z zawaÅ‚em serca z uniesieniem odcinka ST poddawanych pierwotnej PCI, a takÅ¼e osobomÂ z niestabilnÄ… dÅ‚awicÄ… piersiowÄ… lub zawaÅ‚em miÄ™Å›nia sercowego bez uniesienia odcinka ST, u ktÃ³rych planowany jest zabieg chirurgiczny.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby ukladu krwionosnego,
Bleomycyna,Bleomycin,,,,,"ograniczenie mozliwosci prowadzenia pojazdow, nie stosowac wyzszych dawek leku ","BleomycynaÂ wywoÅ‚uje zmÄ™czenie, nudnoÅ›ci iÂ wymioty, przez co moÅ¼e wpÅ‚ywaÄ‡ na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w.
ÅÄ…czenieÂ terapii bleomycynÄ… z radioterapiÄ… nasila dziaÅ‚anie toksyczne na pÅ‚uca i toksycznoÅ›Ä‡ dermatologicznÄ….
Jednoczesne podawanie pacjentowi tlenu podczas operacji zwiÄ™ksza naraÅ¼enie na zwÅ‚Ã³knienie pÅ‚uc.
Zastosowanie Å¼ywych szczepionek w trakcie terapii bleomycynÄ… moÅ¼e skutkowaÄ‡ ciÄ™Å¼kimi i Å›miertelnymi zakaÅ¼eniami.
",https://www.doz.pl//leki/w144-Bleomycyna,bleomycyna,"Bleomycyna jest stosowana w poÅ‚Ä…czeniu z innymi cytostatykami i (lub) radioterapiÄ… w leczeniu choroby Hodgkina, raka pÅ‚askonabÅ‚onkowego gÅ‚owy i szyi,Â szyjki macicy i zewnÄ™trznych narzÄ…dÃ³w pÅ‚ciowych. Innym wskazaniem do stosowania leku sÄ… chÅ‚oniaki nieziarnicze, rak jÄ…dra oraz wysiÄ™kÂ w jamie opÅ‚ucnej pochodzenia nowotworowego.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Blinatumomab,Blinatumomab,,,,,ZAKAZ prowadzenia pojazdow,"Blinatumomab istotnie wpÅ‚ywa na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w i obsÅ‚ugiwania urzÄ…dzeÅ„ mechanicznych. NaleÅ¼y poinformowaÄ‡ pacjentÃ³w, aby w czasie terapii powstrzymywali siÄ™ od wykonywania takich czynnoÅ›ci. Do zaburzeÅ„ neurologicznych, ktÃ³re mogÄ… siÄ™ pojawiÄ‡ naleÅ¼Ä…: dezorientacja, splÄ…tanie, zaburzenia Å›wiadomoÅ›ci, zaburzenia rÃ³wnowagi i koordynacji ruchowej, niekiedy napady drgawkowe, zawroty gÅ‚owy, otÄ™pienie.
Stosowanie blinatumomabu jednoczeÅ›nie z wyciÄ…giem z miÅ‚orzÄ™bu moÅ¼e spowodowaÄ‡ wystÄ…pienie drgawek. Nie naleÅ¼y Å‚Ä…czyÄ‡ tych preparatÃ³w.Â 
",https://www.doz.pl//leki/w145-Blinatumomab_,blinatumomab  ,"Wskazaniem do stosowania blinatumomabu jest leczenie dorosÅ‚ych pacjentÃ³w z nawrotowÄ… lub opornÄ… na inne leki ostrÄ… biaÅ‚aczkÄ… limfoblastycznÄ… wywodzÄ…cÄ… siÄ™ z komÃ³rek prekursorowych linii B bez chromosomu Philadelphia (chromosom Philadelphia wystÄ™puje w wiÄ™kszoÅ›ci biaÅ‚aczek, powstaje w wyniku spontanicznych mutacji chromosomowych).",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Boceprewir,Boceprevir,,,,,"ograniczenie mozliwosci prowadzenia pojazdow, nie stosowac wyzszych dawek leku ","Stosowanie boceprewiru moÅ¼e generowaÄ‡ dziaÅ‚ania niepoÅ¼Ä…dane, ktÃ³re mogÄ… bezpoÅ›rednio wpÅ‚ywaÄ‡ na zdolnoÅ›Ä‡ do prowadzenia pojazdÃ³w mechanicznych oraz obsÅ‚ugi maszyn. NaleÅ¼Ä… do nich m.in. zmÄ™czenie, dusznoÅ›Ä‡, bÃ³le oraz zawroty gÅ‚owy.
",https://www.doz.pl//leki/w146-Boceprewir,boceprewir,"Wskazaniem do leczenia boceprewirem byÅ‚o przewlekÅ‚e wirusowe zapalenie wÄ…troby typu C, wywoÅ‚ywane przez wirus o genotypie 1, stosowany byÅ‚ w poÅ‚Ä…czeniu z rybawirynÄ… oraz peginterferonem alfa, u osÃ³b, u ktÃ³rych wystÄ™puje skompensowana choroba wÄ…troby, ktÃ³ra byÅ‚a wczeÅ›niej nieleczona lub wczeÅ›niejsza terapia okazaÅ‚a siÄ™ niepowodzeniem.",,,,,,,,,,,,,,,,,,,,,,,,,,"Wskazaniem do leczenia boceprewirem byÅ‚o przewlekÅ‚e wirusowe zapalenie wÄ…troby typu C, wywoÅ‚ywane przez wirus o genotypie 1, stosowany byÅ‚ w poÅ‚Ä…czeniu z rybawirynÄ… oraz peginterferonem alfa, u osÃ³b, u ktÃ³rych wystÄ™puje skompensowana choroba wÄ…troby, ktÃ³ra byÅ‚a wczeÅ›niej nieleczona lub wczeÅ›niejsza terapia okazaÅ‚a siÄ™ niepowodzeniem.",
Bortezomib,Bortezomib,,grejpfrut,,,,"Podczas terapii bortezomibem nie zaleca siÄ™ picia soku grejpfrutowego, poniewaÅ¼ powoduje onÂ  wzrost stÄ™Å¼enia leku we krwi. Dochodzi wtedy do spotÄ™gowania jego dziaÅ‚ania zarÃ³wno leczniczego jak i toksycznego.
",https://www.doz.pl//leki/w147-Bortezomib,bortezomib,Bortezomib jest wskazany w leczeniu dorosÅ‚ych pacjentÃ³w ze szpiczakiem mnogim lub chÅ‚oniakiem z komÃ³rek pÅ‚aszcza.,,,,,,,,,,,,,,,,,,,,,,,,,,szpiczak mnogi,
Bosentan,Bosentan,,alkohol,,,,"Pokarm nie wpÅ‚ywa na proces wchÅ‚aniania bosentanu po podaniu doustnym. Lek moÅ¼na zaÅ¼ywaÄ‡ niezaleÅ¼nie od posiÅ‚kÃ³w.
Alkohol spowalnia przemiany metaboliczne bosentanu prowadzÄ…c do nasilenia dziaÅ‚aÅ„ niepoÅ¼Ä…danych leku.
Lek wpÅ‚ywa na wyniki badaÅ„ wÄ…trobowych podnoszÄ…c stÄ™Å¼enie parametrÃ³w czynnoÅ›ci wÄ…troby (ALAT, ASPAT).
",https://www.doz.pl//leki/w148-Bosentan,bosentan,"Wskazaniem do stosowania bosentanu jest tÄ™tnicze nadciÅ›nienie pÅ‚ucne (III klasa czynnoÅ›ciowa). PAH (pulmonary arterial hypertension) jest to choroba polegajÄ…ca na wzroÅ›cie ciÅ›nienia i oporu naczyniowego w obrÄ™bie naczyÅ„ pÅ‚ucnych, co moÅ¼e doprowadziÄ‡ do niewydolnoÅ›ci prawej komory miÄ™Å›nia sercowego i zgonu pacjenta. W przypadku tÄ™tniczego nadciÅ›nienia pÅ‚ucnego bezpoÅ›redniÄ… przyczynÄ… choroby jest uszkodzenie Å‚oÅ¼yska naczyniowego. Objawami sÄ… uczucie dusznoÅ›ci, zmniejsza siÄ™ rÃ³wnieÅ¼ tolerancja wysiÅ‚ku pacjentÃ³w. Bosentan poprawia wydolnoÅ›Ä‡ pacjentÃ³w i zmniejsza tempo rozwoju choroby.",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
